timestamp,temperatura
2025-05-01T00:50:41.479324,29.6
2025-05-01T00:51:11.599004,23.0
2025-05-01T00:51:41.491201,26.9
2025-05-01T00:52:11.471353,21.7
2025-05-01T10:51:31.370026,26
2025-05-01T10:52:01.151294,29.6
2025-05-01T10:52:31.222368,23
2025-05-01T10:53:01.164651,26.9
2025-05-01T10:53:31.151685,21.7
2025-05-01T10:54:01.148566,25
2025-05-01T10:54:31.148146,23.5
2025-05-01T10:55:01.193392,21.7
2025-05-01T10:55:31.228914,28.7
2025-05-01T10:56:01.152671,22.8
2025-05-01T10:56:31.250930,26.3
2025-05-01T10:57:01.146937,20.9
2025-05-01T10:57:31.134349,23.8
2025-05-01T10:58:01.141352,27.3
2025-05-01T10:58:31.273149,23.4
2025-05-01T10:59:01.145789,20.2
2025-05-01T10:59:31.125912,23
2025-05-01T11:00:01.136820,25.4
2025-05-01T11:00:31.116259,26.7
2025-05-01T11:01:01.120402,28.4
2025-05-01T11:01:31.160122,26.7
2025-05-01T11:02:01.111309,25.5
2025-05-01T11:02:31.147985,20.9
2025-05-03T18:25:47.228057,23
2025-05-03T18:26:08.102981,26.9
2025-05-03T18:26:38.099874,21.7
2025-05-03T18:27:08.114544,25
2025-05-03T18:27:38.230958,23.5
2025-05-03T18:28:08.102301,21.7
2025-05-03T18:28:38.145059,28.7
2025-05-03T18:29:08.109695,22.8
2025-05-03T18:29:38.141464,26.3
2025-05-03T18:30:08.101211,20.9
2025-05-03T18:30:49.058349,26
2025-05-03T18:31:18.861341,29.6
2025-05-03T18:31:48.855313,23
